,countryCode,year,stateProvince,locality,elevation,elevationAccuracy,decimalLatitude,decimalLongitude
188832,RU,2015.0,Tula Oblast,,,,54.514054,37.011991
93429,ES,,Hu,"Eriste, huerto abandonado y setos que bordean los prados",1080.0,0.0,42.5889083,0.4888354
212084,GB,2005.0,England,Strole,,,50.49036,-3.848816
54147,SE,2018.0,Skåne,"Kampholma, Sk",,,56.10741,13.50617
187022,CZ,2016.0,,"Moravia, distr. Brno-venkov. Viničné Šumice: PP Hynčicovy skály 1 km VSV od kapličky v obci; 310 m s. m. Zem. souř.: 491302 N & 165016 E",310.0,,49.21722,16.83778
209664,RU,2022.0,Kaliningrad,,,,54.891145,19.960756
76170,FR,2007.0,,VASSIMONT-ET-CHAPELAINE,,,48.7649,4.14766
106439,FR,2005.0,,Leignecq (Entre le château et le cimetière de),885.0,5.0,45.39253,3.99048
68784,FR,2014.0,,,,,47.54991,3.03004
81004,DK,2018.0,,,,,55.771763,9.513069
71064,EE,1992.0,,,,,59.458463,24.663133
60134,SE,2002.0,Skåne,"100m NNO Brohuset, Sk",,,56.23813,14.20378
231034,GB,2003.0,England,,,,53.84702,-2.229476
14100,GB,1984.0,England,Shropshire,,,52.910697,-2.640847
121780,SE,1978.0,Östergötland,"Mittpunkt i kartblad 8G5a, Ög",,,58.42061,15.84796
54124,SE,1986.0,Södermanland,"Sundby, Stora Smörskallen i Mälaren, Srm",,,59.4818,16.62052
4023,NO,1977.0,Vest-Agder,,0.0,0.0,58.145877,8.053256
79,GB,2009.0,England,Bentley Wood: Cpt.28. Dean Copse: Heath Copse: (centroid),,,51.054834,-1.638265
75910,GB,1973.0,England,VC3 South Devon,,,50.484824,-4.045251
119809,GB,1986.0,England,VC27 East Norfolk,,,52.570497,1.584494
209091,SE,2013.0,Närke,"Mörkasbo, Nrk",,,59.06836,15.39222
10646,FR,2008.0,,,,,45.31952,0.26041
21355,SE,1985.0,Småland,"3 Lundholm 1100 m ONO, Sm",,,56.90161,16.04402
21420,SE,2008.0,Södermanland,"Elljusspåret-Fotbollsplanen, Srm",,,58.95618,16.29623
48336,DE,,,MTB 1842: Drechow; Quadrant: 2,,,54.174989,12.791578
2864,GB,1987.0,Wales,,,,51.650019,-2.940895
134311,GB,1990.0,England,VC27 East Norfolk,,,52.665459,1.414745
130377,SE,2016.0,Södermanland,"Jungfruvassens lundområde, Srm",,,58.7322,17.10331
222965,SE,1980.0,Södermanland,"10G5bno, Srm",,,59.32951,15.95896
211720,GB,2014.0,England,Long Bank,,,53.630541,0.130818
191449,GB,1976.0,England,Poodle Gorse,,,51.927695,-1.096117
123352,SE,2021.0,Östergötland,"Marviken, 350 m SO, Ög",,,58.55061,16.83624
198448,FI,2009.0,,,,,62.620994,29.934669
161293,RU,1990.0,Moscow,,,,55.717239,37.735341
70988,EE,1971.0,,taime atlase ruut: 12-20,,,58.75,23.416667
134775,FI,1975.0,Uusimaa,Harakan saari,,,60.148403,24.953527
20875,GB,1971.0,England,,,,52.051771,0.813367
117121,DE,2003.0,,"Görlitz-Innenstadt, Pontestraße, Pontepark, mittlerer Wiesenhang",,,51.157688,14.982774
93069,FR,2006.0,,Pollionnay (Chemin humide à),510.0,,45.79019,4.6413
76377,FR,1999.0,,SAINT-GERMAIN-SUR-SARTHE,,,48.2837,0.088017
99135,FR,2002.0,,Gacogne,,,47.2363,3.87174
176255,GB,1982.0,Wales,Bryn Cefn Wood & Pont Newydd Cave; Quadrat 8,,,53.226581,-3.475505
123258,SE,2008.0,Halland,"Bökeholmen, Hl",,,57.18943,12.58737
148034,BE,2017.0,West Flanders,,,,51.0345,3.25697
126887,SE,1980.0,Södermanland,"09H5esv, Srm",,,58.85243,17.03968
70898,NO,2020.0,Viken,"Fekjær, rabbe sør for Søndre Fekjær, Hole, Vi",,,60.064661,10.278739
165975,PT,2012.0,Bragança,,150.0,,41.280446,-7.393382
55977,SE,2019.0,Uppland,"Kullgärdet, V om, Upl",,,59.41106,18.44066
104353,GB,2004.0,England,"Kenilworth Road dunes and embankment, Ainsdale",,,53.602231,-3.04645
101119,FR,2004.0,,,,,46.45496,2.93486
226952,SE,1983.0,Halland,"Komleryd, Hl",,,56.9903,12.42137
181015,GB,2015.0,England,Cowden Range (east),,,53.850197,-0.101295
141152,DE,2008.0,,Schliengen,,,47.742498,7.610607
60811,SE,1990.0,Uppland,"11J3dSE, Upl",,,59.6321,18.79692
203774,GB,1989.0,Scotland,NN95 (NW quadrant),,,56.696808,-3.757029
58188,SE,1986.0,Småland,"L6 Stenfors 100 m N, Sm",,,56.46434,14.96572
56328,SE,2007.0,Småland,"Vildapel (Skyddsvärt träd), Sm",,,56.71654,14.63916
162758,GB,2004.0,England,Fonthill Gifford,,,51.082738,-2.137001
51886,BE,1998.0,,,,,51.03809,3.1642
64981,SE,2016.0,Östergötland,"Högtomta, Ög",,,58.20503,15.84365
104047,BE,1982.0,,,,,50.92718,4.16274
98868,FR,2004.0,,,,,46.53146,1.2385
140598,SE,2008.0,Gotland,"Apel (Skyddsvärt träd), Gtl",,,57.08168,18.32387
21505,SE,2005.0,Bohuslän,"Morlanda golfbana, 500 m N om Morlanda säteri, Boh",,,58.19886,11.51219
51374,SE,2010.0,Södermanland,"Lindön - i NÖ delen - nära MIA-yta 48, Srm",,,59.3954,16.84643
222594,SE,2000.0,Skåne,"500m SV Emmeholm, Sk",,,56.04255,14.02415
135125,FR,2008.0,,,,,50.427,2.04435
94270,SE,2010.0,Skåne,700 m VSV Röan,,,56.03267,13.51778
205388,DK,2007.0,,,,,56.210231,10.565592
42841,FR,2007.0,,,,,47.05629,0.95318
215672,GB,2013.0,England,Withheld,,,52.658694,-1.30658
80055,ES,1984.0,Cantabria,Pandillo (Vega de Pas),,,43.0784,-3.7384
172721,DE,,,MTB 5122: Neukirchen; Quadrant: 3,,,50.824925,9.374811
182034,FR,2018.0,,veillerette,,,45.57702,3.49187
230704,SE,2008.0,Småland,"Aplar (Skyddsvärt träd), Sm",,,56.65407,16.14936
64485,SE,2002.0,Bohuslän,"200-300 m N-NNV om Brattholmen, Trätte, Boh",,,58.11467,11.75181
224320,SE,1991.0,Skåne,"Lillaryd, 500m NNO fotb.p, Sk",,,56.40692,12.72543
58530,SE,1994.0,Västergötland,"MORJHULT vid Baggården. Äng, Vg",,,57.75682,12.57528
146703,GB,1977.0,England,,,,51.954982,-2.037788
122217,SE,2015.0,Västmanland,"Björnö - område 5, Vstm",,,59.55942,16.63305
8015,RU,2022.0,Tambov,,,,52.594666,41.226082
170198,DE,1996.0,,"Biot.(30) St. Michael-Kapelle (Umgebung), sw. Frankenbrunn",,,50.18,9.89
221450,SE,2001.0,Östergötland,"Nedre Drättinge, Ög",,,58.06186,15.7468
134865,FR,2007.0,,,,,46.76256,4.23765
100330,DE,2009.0,,Gehölz an der Eger bei Eckenmühle,,,50.12,11.96
128695,DE,,,MTB 1647: Vilmnitz; Quadrant: 3,,,54.325005,13.541602
221870,SE,2013.0,Småland,"Saxhult, trädid F73621, Sm",,,57.24468,15.29107
152007,FI,1994.0,Kanta-Häme,6768:364 Hämeenlinna,,,61.002479,24.491971
61140,SE,2016.0,Västmanland,"Dingtuna nära kyrkskolan, Vstm",,,59.56984,16.39987
7405,NO,2005.0,Oslo fylke,"Bygdøy: SV f Rodeløkken kafé rett på V-siden av Wedels vei, 50 m S f avkjørselen til Rodeløkken kafé.",,,59.9129,10.6886
183294,SE,1993.0,Västergötland,"300 m väster om EKLANDA. Vägkant, åkerkant, Vg",,,57.98448,12.7713
199477,GB,1973.0,England,VC3 South Devon,,,50.465846,-4.100797
98530,FI,1993.0,Varsinais-Suomi,"Dragsfjärd, Hiittinen. Äspskär",,,59.947237,22.20163
128824,DE,,,MTB 5817: Frankfurt am Main West; Quadrant: 3,,,50.124912,8.541454
114226,FR,2015.0,,,,,46.9772,5.0392
64128,SE,2017.0,Bohuslän,"Sydkoster, Kyrkosund SV, Boh",,,58.86452,11.05207
230393,SE,2008.0,Gotland,"Prästänget (Kullands högård), Gtl",,,57.29029,18.29433
186590,NO,2020.0,Viken,Øra,,,59.1788,10.97
96512,GB,1996.0,England,SO84 tetrad R,,,52.085197,-2.191133
54586,SE,1978.0,Östergötland,"Mittpunkt i kartblad 7F2i, Ög",,,57.8584,15.66107
95572,GB,1994.0,Scotland,"Dargarvel Burn, Formakin Estate",,,55.903469,-4.547266
12987,RU,2022.0,Moskva,,,,55.629023,38.10657
126809,SE,1995.0,Skåne,"1 km V Jägaretorpet, Sk",,,56.09716,14.27875
15993,DK,1997.0,,Grund,,,55.70319,9.738636
74956,GB,1990.0,England,VC27 East Norfolk,,,52.684255,1.386613
37970,SE,2021.0,Södermanland,"Björketorp 400m o, Srm",,,59.04599,16.96569
62236,SE,1999.0,Östergötland,"Åsberga, Ög",,,58.4025,14.81462
97918,GB,2007.0,England,Wimpole: Woodyard area,,,52.145906,-0.037977
146195,RU,2019.0,Moskva,,,,55.612434,38.163265
38044,UA,2013.0,Zakarpats'ka Oblast',"Transcarpathian region, Mukachevo district, Vilchovitsya",,,48.29462,22.52271
134844,FR,2005.0,,,,,43.43218,2.05543
22501,SE,1995.0,Östergötland,"Ängsstugan - Österhagen, Ög",,,58.63346,16.69169
110325,SE,2006.0,Småland,"Aplar (Skyddsvärt träd), Sm",,,56.49876,16.14077
164085,NL,1996.0,,,,,52.779471,6.29645
190656,FI,1998.0,Etelä-Karjala,6787:601 Imatra,,,61.183211,28.88379
188551,RU,2008.0,Vladimir Oblast,,,,55.2917,40.5833
54377,SE,2018.0,Östergötland,"Motala Ströms ravin, Ljungsjön, Ög",,,58.52115,15.47296
190068,NL,2022.0,,,48.0,0.0,53.487166,6.147592
74201,GB,2008.0,England,Woodland 19978/002,,,51.327796,0.061328
164991,GB,2004.0,England,"Hedge 4068 (BRERC code), englishcombe, central grid reference",,,51.366709,-2.4084
181161,GB,2016.0,England,Ashburton - between Place & Waye,,,50.530479,-3.740537
157481,DK,1992.0,,Hvalsø,,,55.591853,11.831396
55668,SE,2011.0,Småland,"Näshult, Sm",,,57.26403,15.38431
3749,FR,1994.0,,,,,48.35817,4.61368
200753,GB,1951.0,England,VC20 Hertfordshire,,,51.854225,-0.099336
140745,GB,1985.0,England,Westerleigh Hill,,,51.513648,-2.426502
22804,SE,1991.0,Gotland,"Lausmyr NOdel-Botels-Anderse-Hemmor, Gtl",,,57.28522,18.59973
24963,GB,1950.0,Scotland,VC72 Dumfriesshire,,,54.970529,-3.485562
193090,NL,2006.0,Overijssel,Losser - De Lutte - Dijkgoor,,,52.3,7.0
81942,DE,2016.0,,um die Amper nörd. Thonstetten,,,48.46,11.9
50491,FR,1995.0,,,,,44.08587,6.60097
37329,FR,1996.0,,,,,44.37758,4.19239
80532,FR,1993.0,,BUCEY-EN-OTHE,,,48.2496,3.87326
56839,SE,1989.0,Småland,"8 Enekullen 400 m NNV, Sm",,,57.23425,14.56574
55249,SE,1996.0,Öland,"Albrunna lund, Albrunna, Öl",,,56.31971,16.41316
179514,DE,2012.0,,Rheindamm | Riedwiesen v. Wächterstadt - Riedstadt-Leeheim,,,49.862221,8.384972
81077,DK,2010.0,,,,,54.94592,12.526883
63974,SE,2009.0,Öland,"Seby, invid runstenen i N-kanten av byn, Öl",,,56.34337,16.53077
208435,FR,2000.0,,,,,50.40919,2.08687
57596,SE,2001.0,Östergötland,"Stora Vakendal, Ög",,,58.1161,15.85704
10992,DE,1994.0,,Gebüsche und Hecken auf landwirtschaftlich genutztem Hang westlich von Schirnaidel,,,49.77,11.04
89142,DK,2009.0,,,,,56.408058,10.664676
87638,GB,2000.0,England,,,,50.147972,-5.37473
135187,FR,2008.0,,,,,46.30355,1.07986
226354,SE,2008.0,Skåne,"Aplar (Skyddsvärt träd), Sk",,,55.65749,13.08915
156667,SE,1920.0,Bohuslän,"MORLANDA: MORLANDA SÄTERI, Boh",,,58.19498,11.51596
218576,SE,2013.0,Småland,"Sevedstorp, trädid F65790, Sm",,,57.27311,15.27527
53771,SE,1994.0,Västergötland,"300 m sydöst om BRÄDDEN. Åker, väg, lund, bäck, Vg",,,57.38163,13.04421
16673,FI,2009.0,,,,,65.338037,25.904398
11869,GB,1986.0,Wales,,,,52.294287,-3.227958
12612,ES,2020.0,Comunidad de Madrid,,,,41.039813,-3.488123
7811,NO,2017.0,Østfold,Dapa nord,,,59.038207,11.044179
33910,NO,2021.0,Agder,"Skjernøy, sør for Torjushola ved stien",,,57.9781,7.5266
161413,NO,1937.0,Telemark,"Gumø: Kjelsøy, Midtgumø, Østgumø, Sundgårdstranden; Skåtøy",0.0,0.0,58.888854,9.519093
107453,FR,1997.0,,,1404.0,6.0,44.96528,5.53871
90639,GB,1950.0,England,VC20 Hertfordshire,,,51.825553,-0.622945
52583,DE,1988.0,,Hangzonen mit alter Abbaustelle am nördlichen Ortsrand von Wipfeld,,,49.92,10.21
79187,GB,1990.0,England,"Earthcott Green Old Farm, comments may contain more location details, place may refer to name of 1km ref.",,,51.565318,-2.512753
51993,GB,2004.0,England,,,,52.524766,0.578131
91419,GB,2008.0,England,NE33 Land West of Hamlyn Drive,,,53.743019,-0.391443
61199,SE,1992.0,Gotland,"Tajnungs 1,4 km NO (mot O), Gtl",,,57.86202,18.69739
140528,RU,2015.0,Tver Oblast,,,,57.82,34.73
222831,SE,1985.0,Halland,"Steninge NR, SV om Hulabäck, Hl",,,56.76597,12.63878
134499,GB,2014.0,England,Wadswick Common Verge. WCC 3-26,,,51.407638,-2.235017
74012,GB,2008.0,England,Neutral grassland field 19B88/001,,,51.376503,0.124198
14288,SE,1992.0,Småland,"Flisby sn. L. Tofta, vägkant",,,57.788036,14.786388
54556,SE,1986.0,Gotland,"Ängshagen-Burgen, Gtl",,,57.46025,18.39637
191256,GB,1984.0,England,ST87N,,,51.487234,-2.224625
192988,UA,2004.0,,"Ukraine, Crimea: Krasnaya (Krasna) valley ca. 5.5 km NNE Bielogorsk (Bilohirsk), ca1 km NNE Bila Skelya, ""Akkaya"" (White rock)",161.5,3.5,45.10111,34.62611
132907,DE,,,MTB 7618: Haigerloch; Quadrant: 2,,,48.37489,8.791462
190477,FI,2015.0,Pohjois-Savo,Haukiniemi,,,63.565391,27.168622
36401,DE,1945.0,,,,,50.02,11.29
194711,EE,2018.0,,Paluküla,,,58.93009,25.039496
186897,DK,2006.0,,,,,55.224513,14.853644
16652,AX,2006.0,Ahvenanmaa,Vargata,,,60.240136,20.355215
109540,GB,1984.0,England,SU25L,,,51.271085,-1.635855
186699,GB,2021.0,England,Leire Stemborough Mill Footpath,,,52.514232,-1.214177
6445,FR,2009.0,,,,,44.24388,6.31916
153828,FR,2010.0,,,,,49.49141,4.5458
124643,RU,2018.0,Karachay-Cherkess,,,,43.894039,42.642137
59139,SE,1990.0,Uppland,"11J7aSW, Upl",,,59.81813,18.50149
101477,DK,1991.0,,,,,56.371554,9.082327
53932,SE,1993.0,Västergötland,"200 m söder om GUNNARSHULT. Bete, lövskog, skogsbryn, Vg",,,57.26349,12.82756
105715,GB,2009.0,England,Cheswardine,,,52.862277,-2.409906
94213,SE,1997.0,Skåne,"Hästäng, ruiner, Sk",,,55.87511,13.6643
192876,SE,1997.0,Östergötland,"Lilla Hagebytorp, Ög",,,58.47747,14.96449
198500,NL,2014.0,Drenthe,Gasselte,,,52.95,6.75
202445,FR,1996.0,,,,,48.18786,5.06098
46,GB,2017.0,England,,,,50.314356,-5.217919
223799,SE,2001.0,Östergötland,"Norrgården, Ög",,,58.42037,15.0352
77828,FR,1999.0,,,,,48.71509,7.92827
11757,GB,1995.0,Wales,,,,52.299593,-3.609404
150382,GB,1996.0,Scotland,"India Works, Inchinnan",,,55.884095,-4.438855
202989,GB,2011.0,England,Pound Farm,,,50.843262,-3.158927
146450,SE,1993.0,Uppland,"50 m V om Älvåsa friluftsgård, Upl",,,60.15788,16.80913
157296,FR,1998.0,France métropolitaine,,,,48.40869,2.42226
36517,DE,1984.0,,"n Rottershausen,Waldsiedlung,Kohlplatte",,,50.19,10.18
133986,GB,2012.0,England,Coombe Bissett,,,51.037764,-1.851621
150681,NO,2021.0,Vestland,"Skinstø, Bergen, Ve",,,60.469062,5.297123
154723,DE,,,MTB 4611: Hagen-Hohenlimburg; Quadrant: 4,,,51.324909,7.624755
135165,FR,2005.0,,,,,43.32141,5.84784
187297,GB,2018.0,Wales,Bwlch-y-ffridd,,,52.563156,-3.415487
106746,FR,1996.0,,MONTSAUCHE-LES-SETTONS,,,47.2233,4.02304
101958,GB,2007.0,Scotland,Fochabers,,,57.611712,-3.097933
194464,EE,2013.0,,Võrsna küla,,,58.386,22.77067
88083,DK,2013.0,,,,,55.115779,14.724412
214864,FR,2004.0,,,,,46.5932,3.99747
50154,NL,2015.0,Gelderland,Wijchen - Lunen,,,51.75,5.7
6395,FR,1992.0,,,,,45.73369,2.54994
226642,SE,2008.0,Småland,"Aplar (Skyddsvärt träd), Sm",,,56.63175,16.23123
22422,SE,1979.0,Småland,"3 Slättö(Stor lokal), Sm",,,57.18311,14.44094
123543,SE,2008.0,Värmland,"Fyknäs, Vrm",,,59.34341,12.81045
78804,FR,2022.0,,,69.83,0.0,48.851491,2.66854
111965,LU,1959.0,,Val. Cessinger Baach (Cessange (Luxembourg-Ville)),,,49.5917,6.09895
111301,GB,1984.0,England,"Dean Hill (Wood, Jun.&Calc. scrub)-Brickworth Down & Dean Hill SS",,,51.031494,-1.651281
119236,DE,2002.0,,Neufunde und Bestätigungen,,,49.62,11.21
181419,GB,2008.0,England,Helhoughton Common,,,52.812781,0.765815
14203,BE,1983.0,,,,,51.1356,2.68297
221905,SE,2018.0,Östergötland,"Linghem, Ög",,,58.42585,15.79021
38441,FR,2015.0,,,,,44.61231,4.68128
26234,ES,,,"Arbizu, province of Navarra",493.0,,42.9167,-2.03806
72706,GB,2007.0,England,Amenity Area by the Hospital 32042/003,,,51.632148,-0.118618
119726,GB,2013.0,England,Malpas Farm North Street,,,51.451342,-1.081649
6760,GB,1924.0,England,VC20 Hertfordshire,,,51.91167,-0.329538
89418,NO,2014.0,Viken,"Ved Onsøyveiev, Frederikk II, Fredrikstad, Vi",,,59.223636,10.922607
111272,GB,2015.0,England,Reading Holy Brook Fobney Island,,,51.438119,-0.987117
114152,FR,1973.0,,,,,47.51944,4.92695
104131,BE,2018.0,,,,,50.81545,5.341
6112,GB,1953.0,England,,,,52.197959,1.408039
89848,SE,2001.0,Östergötland,"Sörstugan, Ög",,,58.01236,15.36902
55181,SE,2001.0,Östergötland,"Staffanstorp, Ög",,,58.5293,15.08989
202232,RU,2016.0,Moscow,,,,54.86133,37.3265
4529,DE,,,MTB 4723: Oberkaufungen; Quadrant: 1,,,51.274925,9.541486
46394,PT,2015.0,Vila Real,,178.0,,41.330043,-7.374641
37482,ES,,,,,,40.13,-3.94
81041,DK,2007.0,,,,,56.219527,10.547469
132138,RU,2021.0,Bryansk,,,,53.429112,33.858175
38662,FR,2011.0,,,,,46.21956,5.86586
37485,ES,,,La Puebla de Montalbán,,,39.86,-4.35
104184,BE,1957.0,,Stoumont,,,50.405872,5.824986
84518,DE,1982.0,,,,,47.92,11.96
152194,SE,2016.0,Gotland,"Ala, Fjälängar S-del, hus 70 m OSO, Gtl",,,57.39005,18.62034
74178,GB,2005.0,England,Main Cutting and Track 07531/001,,,51.457514,-0.03957
12177,GB,1983.0,Wales,,,,52.707605,-3.411232
131585,DE,,,MTB 7619: Hechingen; Quadrant: 3,,,48.324886,8.874802
152098,SE,1978.0,Östergötland,"Mittpunkt i kartblad 8G5i, Ög",,,58.41856,16.53241
116803,FI,2012.0,Uusimaa,"Lähderanta, Viherlaakso",,,60.243851,24.748906
124814,FR,2003.0,,,,,48.51118,1.17206
86346,GB,2004.0,England,"Hedge 7196 (BRERC code), doynton, central grid reference",,,51.479301,-2.413654
101971,GB,1987.0,Scotland,"Orphir, Gyre Plantation",,,58.927314,-3.130727
56169,SE,2000.0,Uppland,"Harö, Nöttnäs, Upl",,,59.3233,18.8664
145554,FR,2003.0,,,,,46.81513,3.06558
222113,SE,2001.0,Bohuslän,"Solliden, Åseberget, Rollsbo, Boh",,,57.87293,11.94911
108221,SE,1989.0,Västergötland,"TRANEBÄCK. Kulturmark,åkant, Vg",,,57.24997,13.1038
68478,AT,2021.0,,,639.0,0.0,47.168667,11.862312
185153,FR,2020.0,,,,,48.07641,-4.251
14074,GB,2004.0,England,Bucknell Hill,,,52.376773,-2.961411
48379,DE,,,MTB 3630: Wolfsburg Süd; Quadrant: 1,,,52.374954,10.708182
92523,IE,2014.0,,Derrynane National Historic Park,,,51.759962,-10.137061
225407,SE,1996.0,Skåne,"300m NV Duveke gård, Sk",,,55.97527,13.0531
184976,FR,2009.0,,,,,46.34611,2.63794
227673,SE,1991.0,Blekinge,"Ekonomiskt kartblad Saxemara (03F5c), Bl",,,56.19183,15.19888
108382,FR,2007.0,,,,,48.42679,4.4194
19345,DE,2021.0,,Sonnenbachstausee - TK25 Blatt 7027/2,,,48.97374,10.254192
227768,SE,2018.0,Västergötland,"Wiebo, Vg",,,57.762,12.4405
2788,GB,1991.0,Wales,Plas Gogerddan,,,52.435417,-4.015963
59668,SE,2004.0,Småland,"Bäckaslöv N Hundklubben, Sm",,,56.87099,14.77126
43586,NO,2018.0,Vestland,"Grønåsvågen, Moster, Bømlo, Ve",,,59.707074,5.364029
72872,GB,2005.0,England,North 27034/001,,,51.531205,-0.335557
60524,SE,1985.0,Gotland,"Viklauån-banvallen f.d. och mot O, Gtl",,,57.47646,18.4809
94168,SE,2000.0,Östergötland,"Bjärkefall, Ög",,,57.90141,15.52501
63001,SE,1988.0,Gotland,"Mojners NR-Sudervik-Svannäsudden-Gyle vätar-Gylviken, Gtl",,,57.66701,18.79668
71273,EE,2016.0,,taime atlase ruut: 22-36,,,57.75,26.083333
149097,DE,2013.0,,Niedersonthofer See und Oberinselsee,,,47.636013,10.2705
132459,DE,2016.0,,,,,49.91,11.23
218622,SE,2009.0,Öland,"Kärr, västerut, Öl",,,56.69731,16.56201
192606,SE,1998.0,Skåne,"700m N Ådala, Sk",,,56.22235,13.35149
145445,SE,1984.0,Småland,"L12 Getamåla såg 250 m SSV t S, Sm",,,56.45018,15.14928
225437,SE,2011.0,Östergötland,"Sävsviken 500 m n, Ög",,,58.82062,16.19064
91034,GB,1984.0,England,ST96T,,,51.406514,-2.051707
12448,RU,2020.0,Moscow City,,,,55.689201,37.800545
184038,RU,2020.0,Ryazan',,,,53.861269,40.60979
14679,FR,2021.0,,,114.11,0.0,48.931817,1.400947
59886,SE,2001.0,Bohuslän,"380 m N om Katrineberg, Otterön, Boh",,,58.65966,11.23615
214926,FR,2004.0,,,,,47.85714,0.9968
22522,SE,1976.0,Småland,"Flättinge. 300m SSV Nydala, Sm",,,57.9075,14.37225
97804,GB,2008.0,England,Prattshayes (Orcombe),,,50.607434,-3.384189
106932,FR,1998.0,,SAINT-LAURENT-NOUAN,,,47.7116,1.62345
107404,SE,1999.0,Östergötland,"Hovsslätt, Ög",,,58.38614,14.92341
138856,GB,1992.0,Scotland,Gailes Marsh,,,55.587824,-4.657864
185563,FI,2020.0,Varsinais-Suomi,Mustalahti,,,60.397172,22.184615
13855,GB,1997.0,England,Cantlop,,,52.658496,-2.725857
55434,SE,2001.0,Skåne,"350m NNO Samsv. 124-27, Sk",,,56.17267,12.62985
80787,FR,2006.0,,Arcueil,,,48.8061,2.33472
199479,GB,1971.0,England,Stoke Mill tetrad,,,52.219961,-0.522945
222125,SE,2000.0,Skåne,"320m SSV Prästav. 235, Sk",,,56.18072,12.59374
57226,SE,2021.0,Halland,"Svärjarehålan, Hl",,,56.64315,12.74185
62954,SE,2001.0,Östergötland,"Särstad, Ög",,,58.46761,15.93193
85095,ES,,Na,"Burgui, Sierra de Illón, camino del Borreguil",1200.0,0.0,42.6988951,-1.0211979
156703,SE,2001.0,Östergötland,"Röjeholm, Ög",,,57.8701,15.57948
126667,SE,1992.0,Småland,"Sjövik norra gdn 1000 m VSV, Sm",,,58.00494,15.04502
186325,FI,2017.0,Varsinais-Suomi,Harittu,,,60.414042,22.297282
158535,GB,2000.0,Scotland,"Dykehead, Shotts",,,55.815377,-3.812852
21358,SE,2007.0,Skåne,"Aplar (Skyddsvärt träd), Sk",,,55.70902,13.58625
70414,GB,1987.0,England,Cooper's Green area,,,51.767041,-0.276912
13297,FR,2003.0,,,,,46.10666,5.83232
220293,GB,1991.0,England,Church Hill,,,51.331873,-2.798006
215813,SE,,Uppland,No locality information available,,,59.36464,18.18188
62331,SE,2009.0,Öland,"Lilla Vickleby naturreservat, Öl",,,56.55642,16.49304
236719,DK,2017.0,,,,,56.381841,9.937153
233727,FR,2010.0,,,,,47.38291,4.74996
46973,SE,2005.0,Västmanland,"Nätgatan, Vstm",,,59.57249,16.61268
126632,SE,2002.0,Östergötland,"Lunna, Ög",,,58.34674,14.93906
52200,DK,2006.0,,Ny Højen SØ,,,55.641432,9.51505
118608,DE,2017.0,,,,,48.57,13.71
